codigo_de_batea,ano,ciclo,n_batea,fecha_rebose,inicio_de_carga,fin_de_carga,tms,horas_de_lixiviacion,cut_pct,cusac_pct,pctc,fet_pct,indice_solubilidad,pctrec_cusac,p80_mm,pcthumedad_inicial,tiempo_de_lixiviacion_h,ratio_de_curado_kg_tn,pctoxi_2,pctoxi_3,pctoxi_3m,pctoxi_4,pctoxi_4m,load__tms_x_turno__mean,load__tms_x_turno__p10,load__tms_x_turno__p90,load__tms_x_turno__std,load__tms_x_turno__n,load__dosificacion_acido_x_dia_kg_tms__mean,load__dosificacion_acido_x_dia_kg_tms__p10,load__dosificacion_acido_x_dia_kg_tms__p90,load__dosificacion_acido_x_dia_kg_tms__std,load__dosificacion_acido_x_dia_kg_tms__n,load__flujo_sx_hg__mean,load__flujo_sx_hg__p10,load__flujo_sx_hg__p90,load__flujo_sx_hg__std,load__flujo_sx_hg__n,load__flujo_sx_lg__mean,load__flujo_sx_lg__p10,load__flujo_sx_lg__p90,load__flujo_sx_lg__std,load__flujo_sx_lg__n,load__flujo_lix_hg__mean,load__flujo_lix_hg__p10,load__flujo_lix_hg__p90,load__flujo_lix_hg__std,load__flujo_lix_hg__n,load__flujo_lix_lg__mean,load__flujo_lix_lg__p10,load__flujo_lix_lg__p90,load__flujo_lix_lg__std,load__flujo_lix_lg__n,load__ph_pls_hg__mean,load__ph_pls_hg__p10,load__ph_pls_hg__p90,load__ph_pls_hg__std,load__ph_pls_hg__n,load__ph_pls_lg__mean,load__ph_pls_lg__p10,load__ph_pls_lg__p90,load__ph_pls_lg__std,load__ph_pls_lg__n,load__n_rows,leach__tms_x_turno__mean,leach__tms_x_turno__p10,leach__tms_x_turno__p90,leach__tms_x_turno__std,leach__tms_x_turno__n,leach__dosificacion_acido_x_dia_kg_tms__mean,leach__dosificacion_acido_x_dia_kg_tms__p10,leach__dosificacion_acido_x_dia_kg_tms__p90,leach__dosificacion_acido_x_dia_kg_tms__std,leach__dosificacion_acido_x_dia_kg_tms__n,leach__flujo_sx_hg__mean,leach__flujo_sx_hg__p10,leach__flujo_sx_hg__p90,leach__flujo_sx_hg__std,leach__flujo_sx_hg__n,leach__flujo_sx_lg__mean,leach__flujo_sx_lg__p10,leach__flujo_sx_lg__p90,leach__flujo_sx_lg__std,leach__flujo_sx_lg__n,leach__flujo_lix_hg__mean,leach__flujo_lix_hg__p10,leach__flujo_lix_hg__p90,leach__flujo_lix_hg__std,leach__flujo_lix_hg__n,leach__flujo_lix_lg__mean,leach__flujo_lix_lg__p10,leach__flujo_lix_lg__p90,leach__flujo_lix_lg__std,leach__flujo_lix_lg__n,leach__ph_pls_hg__mean,leach__ph_pls_hg__p10,leach__ph_pls_hg__p90,leach__ph_pls_hg__std,leach__ph_pls_hg__n,leach__ph_pls_lg__mean,leach__ph_pls_lg__p10,leach__ph_pls_lg__p90,leach__ph_pls_lg__std,leach__ph_pls_lg__n,leach__n_rows
25-C1-B02-Ene,2025,1,Batea 02,2025-01-01 14:00:00,2024-12-31 21:29:00.000,2025-01-01 10:12:00.000,15061.940217391304,102.18499755859375,0.46601437699680515,0.38944889779559116,0.519623571251057,9.666653354632588,83.57014654898964,60.18,10.737664580359947,1.902173913043478,102.18499755859375,24.76567018663449,37.91,55.29,0.0,6.8,0.0,13372.403413056356,10867.311784173771,15877.495041938942,4428.418195691325,2,35.9479134117844,35.9479134117844,35.9479134117844,,1,792.5287272135417,790.9678548177084,794.089599609375,2.7592586391516343,2,859.3802490234375,859.0764404296875,859.6840576171875,0.5370627920584349,2,1103.1837565104165,1079.0938476562499,1127.2736653645834,42.58534477236781,2,909.9072265625,873.4465494791667,946.3679036458333,64.45398003069482,2,1.350000023841858,1.350000023841858,1.350000023841858,0.0,2,1.440000057220459,1.440000057220459,1.440000057220459,0.0,2,2,13372.403413056356,10867.311784173771,15877.495041938942,4428.418195691325,2,35.9479134117844,35.9479134117844,35.9479134117844,,1,792.5287272135417,790.9678548177084,794.089599609375,2.7592586391516343,2,859.3802490234375,859.0764404296875,859.6840576171875,0.5370627920584349,2,1103.1837565104165,1079.0938476562499,1127.2736653645834,42.58534477236781,2,909.9072265625,873.4465494791667,946.3679036458333,64.45398003069482,2,1.350000023841858,1.350000023841858,1.350000023841858,0.0,2,1.440000057220459,1.440000057220459,1.440000057220459,0.0,2,2
25-C1-B03-Ene,2025,1,Batea 03,2025-01-02 05:09:00,2025-01-01 10:12:00.000,2025-01-02 01:50:00.000,15568.401131985687,104.8155517578125,0.4955982392957183,0.40691276510604235,0.623870100723302,10.077831132452982,82.10536939846588,60.34,9.38208045421147,1.925153508972611,104.8155517578125,22.59254928362143,30.93,69.07,0.0,0.0,0.0,15377.165443673399,12119.857598615064,17463.96999278729,3453.0811410034657,4,35.024137155577804,34.28511615061254,35.76315816054308,1.3064169101256031,2,836.4197184244791,791.748291015625,886.0862955729166,52.05848428344859,4,875.0835774739584,859.2283447265625,893.5416748046875,18.9870651491519,4,1115.1812133789062,1081.8617757161458,1146.378076171875,34.73680889015522,4,911.6009114583333,874.3253011067709,947.5215738932292,39.393925021791084,4,1.3199999928474426,1.2819999694824218,1.350000023841858,0.03829711004234015,4,1.445000022649765,1.4329999804496765,1.4610000371932983,0.017320525970391153,4,4,17381.927474290438,17217.84243729674,17546.01251128414,290.0641058737278,2,34.10036089937122,34.10036089937122,34.10036089937122,,1,880.3107096354166,868.7595377604166,891.8618815104167,20.419779908659567,2,890.7869059244792,885.2773681640625,896.2964436848958,9.739578778984896,2,1127.178670247396,1107.3339111328125,1147.0234293619792,35.0809093523385,2,913.2945963541666,900.7744791666667,925.8147135416666,22.13264941132874,2,1.2899999618530273,1.2739999771118165,1.3059999465942382,0.028284244273478854,2,1.449999988079071,1.4339999556541443,1.4660000205039978,0.028284328567175877,2,2
25-C1-B04-Ene,2025,1,Batea 04,2025-01-02 16:12:00,2025-01-02 01:50:00.000,2025-01-02 12:49:00.000,15437.06546697131,105.07888793945312,0.5645833333333333,0.48260869565217396,0.708681578506834,11.109054487179487,85.48050697898285,43.85,9.534269586393322,2.2104049982813354,105.07888793945312,28.29366651651827,27.29,72.71,0.0,0.0,0.0,17381.927474290438,17217.84243729674,17546.01251128414,290.0641058737278,2,34.10036089937122,34.10036089937122,34.10036089937122,,1,880.3107096354166,868.7595377604166,891.8618815104167,20.419779908659567,2,890.7869059244792,885.2773681640625,896.2964436848958,9.739578778984896,2,1127.178670247396,1107.3339111328125,1147.0234293619792,35.0809093523385,2,913.2945963541666,900.7744791666667,925.8147135416666,22.13264941132874,2,1.2899999618530273,1.2739999771118165,1.3059999465942382,0.028284244273478854,2,1.449999988079071,1.4339999556541443,1.4660000205039978,0.028284328567175877,2,2,17381.927474290438,17217.84243729674,17546.01251128414,290.0641058737278,2,34.10036089937122,34.10036089937122,34.10036089937122,,1,880.3107096354166,868.7595377604166,891.8618815104167,20.419779908659567,2,890.7869059244792,885.2773681640625,896.2964436848958,9.739578778984896,2,1127.178670247396,1107.3339111328125,1147.0234293619792,35.0809093523385,2,913.2945963541666,900.7744791666667,925.8147135416666,22.13264941132874,2,1.2899999618530273,1.2739999771118165,1.3059999465942382,0.028284244273478854,2,1.449999988079071,1.4339999556541443,1.4660000205039978,0.028284328567175877,2,2
25-C1-B05-Ene,2025,1,Batea 05,2025-01-03 04:10:00,2025-01-02 12:49:00.000,2025-01-02 23:29:00.000,15131.826588021779,102.18360900878906,0.4702994011976048,0.40545345585297643,0.61053094293603,11.630618762475049,86.21177378080857,64.89,9.357989976178821,2.0213248638838475,102.18360900878906,27.25231457665959,29.0,59.04,0.0,11.95,0.0,17381.927474290438,17217.84243729674,17546.01251128414,290.0641058737278,2,34.10036089937122,34.10036089937122,34.10036089937122,,1,880.3107096354166,868.7595377604166,891.8618815104167,20.419779908659567,2,890.7869059244792,885.2773681640625,896.2964436848958,9.739578778984896,2,1127.178670247396,1107.3339111328125,1147.0234293619792,35.0809093523385,2,913.2945963541666,900.7744791666667,925.8147135416666,22.13264941132874,2,1.2899999618530273,1.2739999771118165,1.3059999465942382,0.028284244273478854,2,1.449999988079071,1.4339999556541443,1.4660000205039978,0.028284328567175877,2,2,16519.297623894683,15277.537595731113,17463.96999278729,1272.4522737441182,4,35.74157789348537,34.428604298194045,37.0545514887767,2.3210313318734443,2,860.8572591145833,831.3451904296875,886.2026285807292,32.48757345399674,4,884.8674723307291,875.9243815104167,893.988623046875,10.295808790511213,4,1125.7796223958335,1107.9391520182292,1144.7393310546875,20.512980630593688,4,926.4656982421875,907.0345377604166,940.9466959635416,20.04340048012974,4,1.2824999690055847,1.2699999809265137,1.3009999513626098,0.018929676433237463,4,1.4600000083446503,1.4419999718666077,1.4700000286102295,0.020000040531158447,4,4
25-C1-B06-Ene,2025,1,Batea 06,2025-01-03 13:38:00,2025-01-02 23:29:00.000,2025-01-03 09:57:00.000,15171.996621621622,102.32777404785156,0.4602,0.39507394084732217,0.672322166685145,11.35264,85.84831396073929,57.94,8.904558366090491,2.027027027027027,102.32777404785156,27.913893688736145,38.75,42.05,0.0,19.2,0.0,16519.297623894683,15277.537595731113,17463.96999278729,1272.4522737441182,4,35.74157789348537,34.428604298194045,37.0545514887767,2.3210313318734443,2,860.8572591145833,831.3451904296875,886.2026285807292,32.48757345399674,4,884.8674723307291,875.9243815104167,893.988623046875,10.295808790511213,4,1125.7796223958335,1107.9391520182292,1144.7393310546875,20.512980630593688,4,926.4656982421875,907.0345377604166,940.9466959635416,20.04340048012974,4,1.2824999690055847,1.2699999809265137,1.3009999513626098,0.018929676433237463,4,1.4600000083446503,1.4419999718666077,1.4700000286102295,0.020000040531158447,4,4,15656.667773498928,14898.407417963299,16414.928129034557,1340.4275982604158,2,37.38279488759953,37.38279488759953,37.38279488759953,,1,841.40380859375,821.51923828125,861.28837890625,35.15128627237364,2,878.9480387369791,873.7946207682292,884.1014567057291,9.110041979979322,2,1124.380574544271,1121.6181070963542,1127.1430419921876,4.883398663072481,2,939.6368001302083,937.0170084635416,942.256591796875,4.631181131989991,2,1.274999976158142,1.2709999799728393,1.2789999723434449,0.0070710610683697135,2,1.4700000286102295,1.4700000286102295,1.4700000286102295,0.0,2,2
25-C1-B07-Ene,2025,1,Batea 07,2025-01-04 02:06:00,2025-01-03 09:57:00.000,2025-01-03 22:32:00.000,15375.097409717822,103.96083068847656,0.46356372353176184,0.38262304921968787,0.633,12.686016779864165,82.5394718776936,73.94,9.35572562164354,1.8318387835664507,103.96083068847656,26.421320298144106,22.58,58.22,0.0,19.21,0.0,15656.667773498928,14898.407417963299,16414.928129034557,1340.4275982604158,2,37.38279488759953,37.38279488759953,37.38279488759953,,1,841.40380859375,821.51923828125,861.28837890625,35.15128627237364,2,878.9480387369791,873.7946207682292,884.1014567057291,9.110041979979322,2,1124.380574544271,1121.6181070963542,1127.1430419921876,4.883398663072481,2,939.6368001302083,937.0170084635416,942.256591796875,4.631181131989991,2,1.274999976158142,1.2709999799728393,1.2789999723434449,0.0070710610683697135,2,1.4700000286102295,1.4700000286102295,1.4700000286102295,0.0,2,2,15993.167973004567,14832.068637900129,17259.1657226192,1313.8013117198527,4,37.024133714825965,36.737204776607115,37.31106265304482,0.5072234948330115,2,827.9965006510416,814.04052734375,851.34609375,25.549947636694363,4,876.4289754231771,872.6937662760416,882.1794352213542,6.043954650731427,4,1106.1184082031252,1085.8637125651042,1125.7618082682293,21.66026794906232,4,931.7286783854166,922.2376139322917,940.9466959635416,10.048594296756274,4,1.2974999845027924,1.2729999780654908,1.328000009059906,0.03095698439860221,4,1.4725000262260437,1.4630000352859498,1.484000015258789,0.012583045391979259,4,4
25-C1-B09-Ene,2025,1,Batea 09,2025-01-04 13:34:00,2025-01-03 22:32:00.000,2025-01-04 09:46:00.000,15481.972092192002,102.5727767944336,0.5456112224448898,0.44932892628205123,0.773,10.809619238476953,82.35331455768147,62.77742864498377,9.160393390748979,1.7391971808073101,102.5727767944336,26.09475479443617,24.92,61.01,0.0,14.06,0.0,15993.167973004567,14832.068637900129,17259.1657226192,1313.8013117198527,4,37.024133714825965,36.737204776607115,37.31106265304482,0.5072234948330115,2,827.9965006510416,814.04052734375,851.34609375,25.549947636694363,4,876.4289754231771,872.6937662760416,882.1794352213542,6.043954650731427,4,1106.1184082031252,1085.8637125651042,1125.7618082682293,21.66026794906232,4,931.7286783854166,922.2376139322917,940.9466959635416,10.048594296756274,4,1.2974999845027924,1.2729999780654908,1.328000009059906,0.03095698439860221,4,1.4725000262260437,1.4630000352859498,1.484000015258789,0.012583045391979259,4,4,16329.668172510206,15361.61098795419,17297.725357066225,1711.2994994397939,2,36.665472542052406,36.665472542052406,36.665472542052406,,1,814.5891927083333,813.4918619791666,815.6865234375,1.9398249994952952,2,873.909912109375,873.2869954427083,874.5328287760417,1.1011714977853542,2,1087.8562418619792,1083.8711832682293,1091.8413004557292,7.04465488766588,2,923.820556640625,920.6546712239583,926.9864420572917,5.5965476164615495,2,1.3199999928474426,1.3039999604225159,1.3360000252723694,0.028284328567175877,2,1.475000023841858,1.4630000352859498,1.487000012397766,0.02121318320510914,2,2
25-C1-B10-Ene,2025,1,Batea 10,2025-01-05 01:55:00,2025-01-04 09:46:00.000,2025-01-04 21:37:00.000,15243.695974985203,105.44444274902344,0.528108756497401,0.43735977564102557,0.658,13.74658136745302,82.81623250137834,69.91341181833053,9.530139212450957,1.8435545718918085,105.44444274902344,27.26682297085525,27.83,50.58,0.0,21.59,0.0,16329.668172510206,15361.61098795419,17297.725357066225,1711.2994994397939,2,36.665472542052406,36.665472542052406,36.665472542052406,,1,814.5891927083333,813.4918619791666,815.6865234375,1.9398249994952952,2,873.909912109375,873.2869954427083,874.5328287760417,1.1011714977853542,2,1087.8562418619792,1083.8711832682293,1091.8413004557292,7.04465488766588,2,923.820556640625,920.6546712239583,926.9864420572917,5.5965476164615495,2,1.3199999928474426,1.3039999604225159,1.3360000252723694,0.028284328567175877,2,1.475000023841858,1.4630000352859498,1.487000012397766,0.02121318320510914,2,2,16392.18442119616,15228.03015087383,17506.325692569728,1270.1972609045451,4,35.87088575120556,35.235216318528096,36.50655518388304,1.123715416098114,2,814.1295776367186,813.348388671875,815.2784586588541,1.239412798891581,4,874.2017415364584,873.5045572916666,874.6654622395833,0.7259671572389309,4,1073.0050455729167,1053.6646402994793,1089.8487711588543,19.86430428070064,4,919.2960611979166,914.706884765625,925.4034993489583,6.144316524177559,4,1.3574999868869781,1.3119999766349792,1.396999979019165,0.046457871091234816,4,1.4650000035762787,1.4389999747276305,1.487000012397766,0.026457540445165784,4,4
25-C1-B11-Ene,2025,1,Batea 11,2025-01-05 12:30:00,2025-01-04 21:37:00.000,2025-01-05 08:04:00.000,15157.912087912087,105.24333190917969,0.46706586826347307,0.3797475961538462,0.553501636649314,11.779560878243512,81.30493404832347,44.53863285503476,9.055421468186182,2.0806712667177782,105.24333190917969,26.356783488360335,24.89,60.32,0.0,14.78,0.0,16392.18442119616,15228.03015087383,17506.325692569728,1270.1972609045451,4,35.87088575120556,35.235216318528096,36.50655518388304,1.123715416098114,2,814.1295776367186,813.348388671875,815.2784586588541,1.239412798891581,4,874.2017415364584,873.5045572916666,874.6654622395833,0.7259671572389309,4,1073.0050455729167,1053.6646402994793,1089.8487711588543,19.86430428070064,4,919.2960611979166,914.706884765625,925.4034993489583,6.144316524177559,4,1.3574999868869781,1.3119999766349792,1.396999979019165,0.046457871091234816,4,1.4650000035762787,1.4389999747276305,1.487000012397766,0.026457540445165784,4,4,16454.700669882113,15675.773378251624,17233.627961512604,1376.9619249079776,2,35.07629896035873,35.07629896035873,35.07629896035873,,1,813.6699625651041,813.6569742838541,813.6829508463542,0.02296025436958272,2,874.4935709635417,874.399169921875,874.5879720052084,0.16687904178390775,2,1058.1538492838542,1049.1754313151043,1067.1322672526042,15.871750575075682,2,914.7715657552083,914.6422037760417,914.9009277343749,0.2286818317411304,2,1.3949999809265137,1.390999984741211,1.3989999771118165,0.0070710610683697135,2,1.4549999833106995,1.43499995470047,1.475000011920929,0.03535538963554559,2,2
25-C1-B12-Ene,2025,1,Batea 12,2025-01-06 00:15:00,2025-01-05 08:04:00.000,2025-01-05 19:49:00.000,15108.719645416175,103.76194286346436,0.4575878594249201,0.36417299240910905,0.551992178880972,9.921157684630739,79.58537030829194,74.08704433511853,9.495856604223196,2.0186793423075615,103.76194286346436,26.33969157023364,23.21,64.65,0.0,12.14,0.0,16454.700669882113,15675.773378251624,17233.627961512604,1376.9619249079776,2,35.07629896035873,35.07629896035873,35.07629896035873,,1,813.6699625651041,813.6569742838541,813.6829508463542,0.02296025436958272,2,874.4935709635417,874.399169921875,874.5879720052084,0.16687904178390775,2,1058.1538492838542,1049.1754313151043,1067.1322672526042,15.871750575075682,2,914.7715657552083,914.6422037760417,914.9009277343749,0.2286818317411304,2,1.3949999809265137,1.390999984741211,1.3989999771118165,0.0070710610683697135,2,1.4549999833106995,1.43499995470047,1.475000011920929,0.03535538963554559,2,2,16110.113344981048,15410.926623656369,17044.904250976506,942.8494070055235,4,36.020564822926154,35.26515213287221,36.7759775129801,1.3353935893287843,2,813.4555257161459,812.6528889973958,814.0866129557292,0.8667119605809398,4,873.8691202799479,872.6269938151041,874.6116861979167,1.3323336691238425,4,1057.7308349609375,1030.4436279296876,1084.6796305338542,29.184107349684933,4,918.5802001953125,908.9454345703125,931.2618733723958,13.685188439303285,4,1.3849999904632568,1.3730000019073487,1.396999979019165,0.012909932175475572,4,1.4399999678134918,1.422999954223633,1.4649999976158141,0.027080160884429372,4,4
