codigo_de_batea,ano,ciclo,n_batea,fecha_rebose,inicio_de_carga,fin_de_carga,tms,horas_de_lixiviacion,cut_pct,cusac_pct,pctc,fet_pct,indice_solubilidad,pctrec_cusac,p80_mm,pcthumedad_inicial,tiempo_de_lixiviacion_h,ratio_de_curado_kg_tn,pctoxi_2,pctoxi_3,pctoxi_3m,pctoxi_4,pctoxi_4m
25-C1-B02-Ene,2025,1,Batea 02,2025-01-01 14:00:00,2024-12-31 21:29:00.000,2025-01-01 10:12:00.000,15061.940217391304,102.18499755859375,0.46601437699680515,0.38944889779559116,0.519623571251057,9.666653354632588,83.57014654898964,60.18,10.737664580359947,1.902173913043478,102.18499755859375,24.76567018663449,37.91,55.29,0.0,6.8,0.0
25-C1-B03-Ene,2025,1,Batea 03,2025-01-02 05:09:00,2025-01-01 10:12:00.000,2025-01-02 01:50:00.000,15568.401131985687,104.8155517578125,0.4955982392957183,0.40691276510604235,0.623870100723302,10.077831132452982,82.10536939846588,60.34,9.38208045421147,1.925153508972611,104.8155517578125,22.59254928362143,30.93,69.07,0.0,0.0,0.0
25-C1-B04-Ene,2025,1,Batea 04,2025-01-02 16:12:00,2025-01-02 01:50:00.000,2025-01-02 12:49:00.000,15437.06546697131,105.07888793945312,0.5645833333333333,0.48260869565217396,0.708681578506834,11.109054487179487,85.48050697898285,43.85,9.534269586393322,2.2104049982813354,105.07888793945312,28.29366651651827,27.29,72.71,0.0,0.0,0.0
25-C1-B05-Ene,2025,1,Batea 05,2025-01-03 04:10:00,2025-01-02 12:49:00.000,2025-01-02 23:29:00.000,15131.826588021779,102.18360900878906,0.4702994011976048,0.40545345585297643,0.61053094293603,11.630618762475049,86.21177378080857,64.89,9.357989976178821,2.0213248638838475,102.18360900878906,27.25231457665959,29.0,59.04,0.0,11.95,0.0
25-C1-B06-Ene,2025,1,Batea 06,2025-01-03 13:38:00,2025-01-02 23:29:00.000,2025-01-03 09:57:00.000,15171.996621621622,102.32777404785156,0.4602,0.39507394084732217,0.672322166685145,11.35264,85.84831396073929,57.94,8.904558366090491,2.027027027027027,102.32777404785156,27.913893688736145,38.75,42.05,0.0,19.2,0.0
25-C1-B07-Ene,2025,1,Batea 07,2025-01-04 02:06:00,2025-01-03 09:57:00.000,2025-01-03 22:32:00.000,15375.097409717822,103.96083068847656,0.46356372353176184,0.38262304921968787,0.633,12.686016779864165,82.5394718776936,73.94,9.35572562164354,1.8318387835664507,103.96083068847656,26.421320298144106,22.58,58.22,0.0,19.21,0.0
25-C1-B09-Ene,2025,1,Batea 09,2025-01-04 13:34:00,2025-01-03 22:32:00.000,2025-01-04 09:46:00.000,15481.972092192002,102.5727767944336,0.5456112224448898,0.44932892628205123,0.773,10.809619238476953,82.35331455768147,62.77742864498377,9.160393390748979,1.7391971808073101,102.5727767944336,26.09475479443617,24.92,61.01,0.0,14.06,0.0
25-C1-B10-Ene,2025,1,Batea 10,2025-01-05 01:55:00,2025-01-04 09:46:00.000,2025-01-04 21:37:00.000,15243.695974985203,105.44444274902344,0.528108756497401,0.43735977564102557,0.658,13.74658136745302,82.81623250137834,69.91341181833053,9.530139212450957,1.8435545718918085,105.44444274902344,27.26682297085525,27.83,50.58,0.0,21.59,0.0
25-C1-B11-Ene,2025,1,Batea 11,2025-01-05 12:30:00,2025-01-04 21:37:00.000,2025-01-05 08:04:00.000,15157.912087912087,105.24333190917969,0.46706586826347307,0.3797475961538462,0.553501636649314,11.779560878243512,81.30493404832347,44.53863285503476,9.055421468186182,2.0806712667177782,105.24333190917969,26.356783488360335,24.89,60.32,0.0,14.78,0.0
25-C1-B12-Ene,2025,1,Batea 12,2025-01-06 00:15:00,2025-01-05 08:04:00.000,2025-01-05 19:49:00.000,15108.719645416175,103.76194286346436,0.4575878594249201,0.36417299240910905,0.551992178880972,9.921157684630739,79.58537030829194,74.08704433511853,9.495856604223196,2.0186793423075615,103.76194286346436,26.33969157023364,23.21,64.65,0.0,12.14,0.0
