dia,turno,tms_x_turno,dosificacion_acido_x_dia_kg_tms,flujo_sx_hg,flujo_sx_lg,flujo_lix_hg,flujo_lix_lg,ph_pls_hg,ph_pls_lg
2025-01-01,A,10241.038876953126,,794.4798177083334,859.760009765625,1073.0713704427083,955.4830729166666,1.350000023841858,1.440000057220459
2025-01-01,B,16503.767949159588,35.9479134117844,790.57763671875,859.00048828125,1133.296142578125,864.3313802083334,1.350000023841858,1.440000057220459
2025-01-02,A,17176.821178048314,,865.8717447916666,883.8999837239584,1102.3727213541667,897.6444498697916,1.309999942779541,1.4700000286102295
2025-01-02,B,17587.033770532566,34.10036089937122,894.7496744791666,897.673828125,1151.984619140625,928.9447428385416,1.2699999809265137,1.4299999475479126
2025-01-03,A,14708.84232907939,,866.259521484375,885.3898111979166,1127.8336588541667,942.9115397135416,1.2699999809265137,1.4700000286102295
2025-01-03,B,16604.493217918465,37.38279488759953,816.548095703125,872.5062662760416,1120.927490234375,936.362060546875,1.2799999713897705,1.4700000286102295
2025-01-04,A,15119.596691815184,,815.9608561197916,873.1312662760416,1092.8375651041667,927.7779134114584,1.2999999523162842,1.4900000095367432
2025-01-04,B,17539.73965320523,36.665472542052406,813.217529296875,874.6885579427084,1082.8749186197917,919.8631998697916,1.340000033378601,1.4600000381469727
2025-01-05,A,15481.041555344002,,813.6861979166666,874.611572265625,1046.9308268229167,914.9332682291666,1.399999976158142,1.4800000190734863
2025-01-05,B,17428.359784420227,35.07629896035873,813.6537272135416,874.3755696614584,1069.3768717447917,914.60986328125,1.3899999856948853,1.4299999475479126
2025-01-06,A,15380.87736721881,,814.2582194010416,874.6117350260416,1091.2379557291667,938.2598470052084,1.3799999952316284,1.4199999570846558
2025-01-06,B,16150.174672941153,36.96483068549358,812.2239583333334,871.8776041666666,1023.377685546875,906.517822265625,1.3700000047683716,1.4299999475479126
2025-01-07,A,16489.005756906234,,812.53515625,873.0265299479166,1102.6507161458333,935.6346028645834,1.340000033378601,1.4600000381469727
2025-01-07,B,17900.571043153817,37.460187646093694,839.6463216145834,873.8675130208334,1159.9755859375,905.2705891927084,1.3600000143051147,1.5
2025-01-08,A,5286.3183113069435,,859.1944986979166,873.490966796875,993.4417317708334,910.7395833333334,1.2799999713897705,1.4600000381469727
2025-01-08,B,16759.453406959045,39.268754619404746,875.581298828125,876.2080891927084,1107.0157063802083,949.90625,1.2999999523162842,1.4700000286102295
2025-01-09,A,18129.075136290856,,876.4534505208334,877.7913411458334,1213.787841796875,937.6883138020834,1.2899999618530273,1.4500000476837158
2025-01-09,B,17751.826514871293,35.08830441999839,875.2186686197916,878.2664388020834,1203.4834798177083,949.7051595052084,1.3300000429153442,1.4700000286102295
2025-01-10,A,17260.080147058823,,870.4265950520834,873.1558430989584,1144.29345703125,884.7140299479166,1.2799999713897705,1.4500000476837158
2025-01-10,B,17681.362257295496,37.58602706785621,849.5192057291666,876.7069498697916,1088.4170735677083,918.5319010416666,1.3799999952316284,1.4800000190734863
2025-01-11,A,17473.90732365781,,847.9204915364584,876.11572265625,1052.8367513020833,918.721923828125,1.3300000429153442,1.440000057220459
2025-01-11,B,17959.545111445914,37.275509701433734,834.109375,876.2911783854166,1033.78515625,934.8784993489584,1.3600000143051147,1.4700000286102295
2025-01-12,A,17766.39593972144,,811.617431640625,875.8031412760416,1027.7738444010417,956.2894694010416,1.309999942779541,1.3799999952316284
2025-01-12,B,15470.30065836096,36.731087170390914,845.298828125,875.6717936197916,1154.83984375,933.060302734375,1.3899999856948853,1.4800000190734863
2025-01-13,A,12591.031217002455,,850.4960123697916,879.1044108072916,933.9310709635416,941.9187825520834,1.3200000524520874,1.4199999570846558
